close,cumulativeVolume,currentVolume,instrumentCode,timeStamp,volumeSMA
1017.45,420709,76628,UNOMINDA,"2025-05-22T13:15:00+05:30",430604.6111111111
1023.05,344081,75483,UNOMINDA,"2025-05-22T13:45:00+05:30",430604.6111111111
1029.65,208954,99642,UNOMINDA,"2025-05-22T14:45:00+05:30",430604.6111111111
14522.0,592407,176053,SOLARINDS,"2025-05-22T09:15:00+05:30",171655.77777777778
14652.0,416354,45521,SOLARINDS,"2025-05-22T09:45:00+05:30",171655.77777777778
14680.0,350328,34204,SOLARINDS,"2025-05-22T10:45:00+05:30",171655.77777777778
14760.0,246370,35830,SOLARINDS,"2025-05-22T13:45:00+05:30",171655.77777777778
14894.0,210540,65921,SOLARINDS,"2025-05-22T14:15:00+05:30",171655.77777777778
15044.0,144619,96095,SOLARINDS,"2025-05-22T14:45:00+05:30",171655.77777777778
15060.0,48524,48524,SOLARINDS,"2025-05-22T15:15:00+05:30",171655.77777777778
722.5,243508,83121,JKIL,"2025-05-22T09:15:00+05:30",157716.16666666666
738.15,160387,43852,JKIL,"2025-05-22T09:45:00+05:30",157716.16666666666
645.9,1267450,294145,BALUFORGE,"2025-05-22T09:15:00+05:30",857144.7222222222
651.0,918345,288149,BALUFORGE,"2025-05-22T10:15:00+05:30",857144.7222222222
484.0,362539,279793,CMSINFO,"2025-05-22T14:15:00+05:30",657034.3888888889
7067.0,142428,44234,ATUL,"2025-05-22T12:15:00+05:30",107955.88888888889
7120.5,88272,19315,ATUL,"2025-05-22T13:15:00+05:30",107955.88888888889
7208.0,58082,19148,ATUL,"2025-05-22T14:15:00+05:30",107955.88888888889
7225.0,21961,21961,ATUL,"2025-05-22T15:15:00+05:30",107955.88888888889
3038.7,1802610,245900,WAAREEENER,"2025-05-22T09:45:00+05:30",2263020.0555555555
222.09,6476508,2019708,ABCAPITAL,"2025-05-22T09:15:00+05:30",5645613.055555556
222.27,4456800,648251,ABCAPITAL,"2025-05-22T09:45:00+05:30",5645613.055555556
753.15,18409,7819,CENTURYPLY,"2025-05-22T14:45:00+05:30",46636.944444444445
767.0,10590,10590,CENTURYPLY,"2025-05-22T15:15:00+05:30",46636.944444444445
691.3,663656,182598,ELECON,"2025-05-22T09:15:00+05:30",1319595.3333333333
1510.6,3620444,1139330,WABAG,"2025-05-22T09:15:00+05:30",299195.77777777775
1506.0,2207467,245641,WABAG,"2025-05-22T10:15:00+05:30",299195.77777777775
1539.4,1961826,483495,WABAG,"2025-05-22T10:45:00+05:30",299195.77777777775
1543.2,1478331,382890,WABAG,"2025-05-22T11:15:00+05:30",299195.77777777775
1521.5,806818,103782,WABAG,"2025-05-22T12:15:00+05:30",299195.77777777775
1503.6,501537,145141,WABAG,"2025-05-22T14:15:00+05:30",299195.77777777775
1524.0,356396,202793,WABAG,"2025-05-22T14:45:00+05:30",299195.77777777775
1528.2,153603,153603,WABAG,"2025-05-22T15:15:00+05:30",299195.77777777775
75.09,272506076,55824813,TTML,"2025-05-22T09:15:00+05:30",8513136.944444444
75.48,197645285,11197775,TTML,"2025-05-22T10:15:00+05:30",8513136.944444444
76.88,167203116,27975031,TTML,"2025-05-22T11:45:00+05:30",8513136.944444444
78.09,139228085,33073133,TTML,"2025-05-22T12:15:00+05:30",8513136.944444444
78.26,106154952,11841534,TTML,"2025-05-22T12:45:00+05:30",8513136.944444444
78.36,94313418,10704945,TTML,"2025-05-22T13:15:00+05:30",8513136.944444444
78.4,76160935,27176472,TTML,"2025-05-22T14:15:00+05:30",8513136.944444444
51.48,10076099,2672360,IRB,"2025-05-22T09:15:00+05:30",1.6391894888888888E7
329.0,222274,153171,INDIACEM,"2025-05-22T14:45:00+05:30",966342.3333333334
1820.1,75127,14828,SHAILY,"2025-05-22T09:45:00+05:30",132148.44444444444
2497.6,101455,30924,SHRIPISTON,"2025-05-22T09:15:00+05:30",203388.16666666666
142655.0,2698,871,MRF,"2025-05-22T13:15:00+05:30",8977.666666666666
5928.5,176416,45998,ABB,"2025-05-22T11:45:00+05:30",365592.8888888889
5925.0,49374,30410,ABB,"2025-05-22T14:45:00+05:30",365592.8888888889
186.0,22191328,2727456,NATIONALUM,"2025-05-22T10:15:00+05:30",1.1829274611111112E7
185.41,17896721,1289618,NATIONALUM,"2025-05-22T11:15:00+05:30",1.1829274611111112E7
187.42,16607103,3811415,NATIONALUM,"2025-05-22T11:45:00+05:30",1.1829274611111112E7
184.91,5461871,2411801,NATIONALUM,"2025-05-22T14:45:00+05:30",1.1829274611111112E7
122.45,4301750,1120744,JMFINANCIL,"2025-05-22T09:15:00+05:30",4872092.277777778
1893.3,4326980,680812,BDL,"2025-05-22T09:45:00+05:30",5804973.444444444
1925.2,1038111,752503,BDL,"2025-05-22T14:45:00+05:30",5804973.444444444
375.3,778402,159857,TIMETECHNO,"2025-05-22T11:15:00+05:30",905193.8333333334
375.05,317629,127568,TIMETECHNO,"2025-05-22T13:45:00+05:30",905193.8333333334
376.75,165032,96843,TIMETECHNO,"2025-05-22T14:45:00+05:30",905193.8333333334
2268.3,180262,57575,CAPLIPOINT,"2025-05-22T09:15:00+05:30",165500.22222222222
2296.0,35954,22191,CAPLIPOINT,"2025-05-22T14:45:00+05:30",165500.22222222222
112.91,99251160,44679017,NTPCGREEN,"2025-05-22T09:15:00+05:30",8094297.833333333
111.84,44415978,5362303,NTPCGREEN,"2025-05-22T10:15:00+05:30",8094297.833333333
111.67,36646816,2099302,NTPCGREEN,"2025-05-22T11:15:00+05:30",8094297.833333333
111.8,34547514,1439256,NTPCGREEN,"2025-05-22T11:45:00+05:30",8094297.833333333
111.91,33108258,2134560,NTPCGREEN,"2025-05-22T12:15:00+05:30",8094297.833333333
113.05,29730208,9314550,NTPCGREEN,"2025-05-22T13:15:00+05:30",8094297.833333333
112.5,11857056,6820749,NTPCGREEN,"2025-05-22T14:45:00+05:30",8094297.833333333
71.45,22232681,18207481,NMDC,"2025-05-22T14:45:00+05:30",2.07562045E7
71.9,4025200,4025200,NMDC,"2025-05-22T15:15:00+05:30",2.07562045E7
