"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 06-Jun-2024"
"NIFTY TOTAL MARKET","12,927.85","13,044.80","12,887.20","12,911.20","13,035.60","-","124.40","0.96","3,31,46,71,584","1,15,608.87","13,842.60","7,145.35","5.24","8.62"
"GODREJIND","1,198.00","1,390.00","1,190.00","1,190.50","1,337.00","-","146.50","12.31","51,88,692","698.48","1,390.00","761.60","21.28","69.01"
"NEULANDLAB","11,756.00","13,250.00","11,756.00","11,744.00","12,900.00","-","1,156.00","9.84","5,39,420","696.28","18,100.00","5,967.95","7.72","111.51"
"RKFORGE","603.95","672.90","603.00","600.50","658.00","-","58.50","9.76","2,15,65,890","1,408.62","1,064.05","553.00","12.22","-5.92"
"ICICIGI","1,877.00","2,013.40","1,871.00","1,877.50","2,010.00","-","139.50","7.46","24,98,448","491.51","2,301.90","1,530.45","9.87","21.97"
"CHOLAHLDNG","1,807.90","1,965.50","1,767.50","1,791.10","1,924.10","-","133.00","7.43","11,61,342","218.43","2,154.95","1,093.55","3.94","67.45"
"UJJIVANSFB","44.50","49.47","44.40","44.50","47.79","-","3.29","7.39","7,75,80,175","367.19","51.00","30.88","17.32","-0.04"
"IDFCFIRSTB","66.81","72.27","66.59","66.80","71.50","-","4.70","7.04","12,17,34,090","862.00","84.50","52.46","6.85","-7.38"
"MUTHOOTFIN","2,303.90","2,470.00","2,283.00","2,294.60","2,454.80","-","160.20","6.98","23,08,405","557.07","2,470.00","1,646.00","5.97","39.52"
"LLOYDSENT","65.49","71.50","65.34","65.10","69.50","-","4.40","6.76","72,92,230","50.65","71.50","37.28","41.00","-"
"GODREJPROP","2,320.00","2,485.00","2,319.20","2,312.00","2,468.00","-","156.00","6.75","38,74,231","939.13","3,402.70","1,900.00","15.93","-11.78"
"OBEROIRLTY","1,810.00","1,919.00","1,803.10","1,800.80","1,918.90","-","118.10","6.56","20,48,555","384.57","2,343.65","1,451.95","20.66","0.21"
"DLF","826.00","884.45","822.15","825.70","879.75","-","54.05","6.55","1,37,17,251","1,186.16","929.00","601.20","29.61","6.17"
"HDFCAMC","4,835.00","5,157.80","4,821.00","4,885.80","5,101.60","-","305.80","6.38","23,86,078","1,204.58","5,157.80","3,441.25","14.86","35.29"
"ROUTE","966.00","1,025.10","966.00","963.80","1,023.90","-","60.10","6.24","12,98,387","131.19","1,942.45","861.90","6.45","-30.83"
"YATHARTH","509.90","552.25","508.75","509.90","541.10","-","31.20","6.12","8,24,887","44.15","693.00","345.60","14.77","32.06"
"SUNTECK","438.00","459.00","433.60","432.50","458.50","-","26.00","6.01","9,58,661","43.02","699.00","347.00","15.31","-1.97"
"AAVAS","1,805.00","1,934.90","1,804.50","1,812.20","1,920.00","-","107.80","5.95","3,49,207","66.18","2,234.00","1,491.90","7.41","17.77"
"NAM-INDIA","746.40","800.00","744.95","746.00","790.15","-","44.15","5.92","31,26,298","244.48","816.25","498.05","20.79","28.75"
"MAHSCOOTER","13,600.00","14,482.00","13,369.00","13,542.00","14,341.00","-","799.00","5.90","49,876","70.00","14,482.00","7,402.00","26.92","87.21"
"SHAKTIPUMP","899.00","945.00","890.05","890.90","943.00","-","52.10","5.85","21,11,146","196.04","1,387.00","391.29","5.59","-62.09"
"ABREL","2,169.50","2,457.90","2,160.00","2,160.30","2,284.00","-","123.70","5.73","24,25,159","572.46","3,140.00","1,638.00","24.38","-"
"TARC","174.80","192.30","172.00","173.93","183.90","-","9.97","5.73","27,80,543","50.81","269.95","103.22","24.57","13.57"
"BAJAJHLDNG","13,600.00","14,740.00","13,490.00","13,482.00","14,245.00","-","763.00","5.66","5,03,230","719.43","14,740.00","7,900.00","19.69","75.28"
"MANAPPURAM","234.84","248.95","233.97","234.58","247.80","-","13.22","5.64","2,77,29,027","676.28","248.95","138.35","7.31","39.27"
"FIVESTAR","693.00","749.50","687.40","691.65","730.00","-","38.35","5.54","25,32,464","184.53","943.75","595.00","6.95","-5.37"
"SHRIRAMFIN","654.00","690.90","644.30","651.45","687.00","-","35.55","5.46","2,01,15,034","1,358.05","730.45","446.00","8.10","-72.19"
"CHOLAFIN","1,519.00","1,623.70","1,497.20","1,511.60","1,591.00","-","79.40","5.25","69,15,310","1,093.32","1,684.40","1,168.00","1.19","19.28"
"SBICARD","943.00","999.45","938.05","944.35","993.50","-","49.15","5.20","37,55,601","369.23","999.45","659.80","8.58","41.13"
"IIFL","434.05","453.35","428.55","429.20","451.50","-","22.30","5.20","52,61,950","233.81","560.60","279.80","22.63","8.90"
"PRESTIGE","1,634.00","1,732.40","1,627.10","1,626.10","1,709.90","-","83.80","5.15","27,28,773","462.03","2,074.80","1,048.05","28.24","-2.54"
"RBLBANK","208.00","220.00","205.50","206.89","217.53","-","10.64","5.14","2,78,75,647","597.15","270.39","146.10","8.04","-10.70"
"UNIMECH","1,310.00","1,365.10","1,302.10","1,300.10","1,365.10","-","65.00","5.00","4,85,605","65.82","1,523.75","850.00","52.53","-"
"M&MFIN","262.80","278.20","260.95","262.65","275.70","-","13.05","4.97","89,17,163","242.72","333.01","231.02","5.57","-0.93"
"BAJFINANCE","8,945.00","9,434.00","8,876.00","8,934.00","9,372.00","-","438.00","4.90","19,78,386","1,834.01","9,660.00","6,425.00","4.28","35.31"
"DHANI","58.45","63.33","58.23","58.15","61.00","-","2.85","4.90","70,73,474","43.19","109.88","39.25","12.28","44.82"
"GODIGIT","339.40","354.85","331.30","338.00","354.40","-","16.40","4.85","20,85,012","71.49","407.40","264.60","20.87","4.96"
"GMDCLTD","388.00","413.80","385.05","382.60","400.95","-","18.35","4.80","1,57,01,144","628.20","439.90","226.59","30.98","7.93"
